Description,p_y101_y1015,q_y101_y1015,p_y101_y102,q_y101_y102,p_y101_y201,q_y101_y201,p_y101_y202,q_y101_y202,p_y102_y201,q_y102_y201,p_y102_y202,q_y102_y202,p_y201_y202,q_y201_y202,>1pep
Laminin subunit alpha-4 OS=Homo sapiens GN=LAMA4 PE=1 SV=4,0.016350217,0.06685627,0.036388671,0.246646372,0.099017687,0.608824883,0.037290103,0.290715465,0.110679336,0.232556846,0.868131451,1,0.110810869,0.304456565,x
Alpha-enolase OS=Homo sapiens GN=ENO1 PE=1 SV=2,0.269582558,0.281498169,0.553365371,0.492172575,0.341630017,0.608824883,0.669053785,0.732225401,0.229448007,0.283655026,0.997419447,1,0.279448741,0.422254837,x
78 kDa glucose-regulated protein OS=Homo sapiens GN=HSPA5 PE=1 SV=2,0.125989089,0.186883924,0.501157506,0.482324708,0.486782546,0.636071801,0.162151521,0.479223471,0.75178652,0.455247898,0.683330197,1,0.329318326,0.442607346,x
Vinculin OS=Homo sapiens GN=VCL PE=1 SV=4,0.252954277,0.27276476,0.644540575,0.52193337,0.195874519,0.608824883,0.497154142,0.653674808,0.161962354,0.252851225,0.386046327,1,0.773315529,0.628366952,x
Complement C1r subcomponent OS=Homo sapiens GN=C1R PE=1 SV=2,0.002124984,0.03622118,0.032279362,0.242798691,0.122610923,0.608824883,0.104915251,0.434504099,0.151906838,0.247455003,0.7509636,1,0.394211173,0.460744497,x
Extracellular matrix protein 1 OS=Homo sapiens GN=ECM1 PE=1 SV=2,0.125929219,0.186883924,0.304628207,0.407613539,0.604189215,0.660249924,0.53233334,0.673152715,0.117555343,0.232556846,0.846511087,1,0.283295654,0.423668947,x
"Spectrin alpha chain, non-erythrocytic 1 OS=Homo sapiens GN=SPTAN1 PE=1 SV=3",0.649182169,0.479936329,0.441352718,0.459270472,0.453168839,0.623814458,0.439864658,0.62914092,0.727052084,0.446695429,0.244070059,1,0.268930533,0.416634879,x
Transforming growth factor-beta-induced protein ig-h3 OS=Homo sapiens GN=TGFBI PE=1 SV=1,0.002411822,0.038712627,0.035835695,0.246646372,0.826871148,0.740539258,0.019253864,0.216723557,0.074870064,0.222987459,0.44116986,1,0.089624538,0.283055045,x
Vitamin D-binding protein OS=Bos taurus GN=GC PE=2 SV=1,0.866711161,0.566838425,0.423057929,0.452568407,0.489871315,0.636071801,0.724506731,0.759355154,0.708699386,0.438321798,0.775616675,1,0.624379671,0.564237801,x
Calsyntenin-1 OS=Homo sapiens GN=CLSTN1 PE=1 SV=1,0.794943364,0.537989058,0.383068643,0.437961466,0.450968205,0.623814458,0.223012139,0.518197636,0.005271441,0.132200723,0.304596043,1,0.015284665,0.167464433,x
Follistatin-related protein 1 OS=Homo sapiens GN=FSTL1 PE=1 SV=1,0.110720577,0.17577208,0.033995342,0.246646372,0.175578694,0.608824883,0.000363753,0.044467558,0.023853039,0.186916661,0.896220997,1,0.005298431,0.105416536,x
Heat shock cognate 71 kDa protein OS=Homo sapiens GN=HSPA8 PE=1 SV=1,0.110102126,0.17577208,0.099419356,0.310685462,0.605590313,0.661174444,0.030619914,0.269810607,0.116968702,0.232556846,0.789311229,1,0.067387669,0.266658884,x
Moesin OS=Homo sapiens GN=MSN PE=1 SV=3,0.01986317,0.07109221,0.395651102,0.442381387,0.511735809,0.636245034,0.511981364,0.663191734,0.210675424,0.279213758,0.98208218,1,0.29889431,0.427652145,x
Collagen alpha-1(I) chain OS=Homo sapiens GN=COL1A1 PE=1 SV=5,0.06371442,0.128839369,0.010051923,0.16805672,0.070201556,0.608824883,0.105320764,0.434504099,0.463232986,0.362294136,0.517065003,1,0.979545979,0.694344628,x
Transitional endoplasmic reticulum ATPase OS=Homo sapiens GN=VCP PE=1 SV=4,0.414368623,0.356235553,0.263807252,0.398855244,0.911924523,0.760902663,0.267624924,0.552300816,0.17626544,0.263460149,0.994053512,1,0.179743654,0.363678464,x
Caldesmon OS=Homo sapiens GN=CALD1 PE=1 SV=3,0.02680336,0.081899706,0.251574283,0.392247877,0.260953983,0.608824883,0.873254682,0.798817471,0.527817226,0.379892812,0.394908814,1,0.298217692,0.427652145,x
Fibulin-1 OS=Homo sapiens GN=FBLN1 PE=1 SV=4,0.001336597,0.030126163,0.131029036,0.329805797,0.710360877,0.697968115,0.147658961,0.468454803,0.143668763,0.246068434,0.918911854,1,0.15136058,0.335659888,x
Ras GTPase-activating-like protein IQGAP1 OS=Homo sapiens GN=IQGAP1 PE=1 SV=1,0.532002037,0.422205313,0.244651227,0.390551576,0.541576373,0.640674953,0.111428027,0.435178604,0.102447853,0.232556846,0.696823259,1,0.039474356,0.230857499,x
Complement C1s subcomponent OS=Homo sapiens GN=C1S PE=1 SV=1,0.001275347,0.029464249,0.024265209,0.234394351,0.331333346,0.608824883,0.013306399,0.187885014,0.187154902,0.265668944,0.509731615,1,0.094730155,0.286509747,x
Tenascin OS=Homo sapiens GN=TNC PE=1 SV=3,0.071323848,0.138387149,0.446618038,0.462712658,0.692751382,0.692250112,0.389985665,0.609574582,0.782172946,0.465226523,0.981829594,1,0.76708323,0.625421271,x
Collagen alpha-2(IV) chain OS=Homo sapiens GN=COL4A2 PE=1 SV=4,0.176806931,0.225365968,0.000869635,0.090996688,0.011446977,0.524420124,0.007287137,0.145076259,0.187288681,0.265668944,0.696600389,1,0.303820523,0.431204956,x
Fructose-bisphosphate aldolase A OS=Homo sapiens GN=ALDOA PE=1 SV=2,0.640592697,0.477020735,0.268015539,0.398855244,0.113786469,0.608824883,0.608426851,0.706968053,0.349685644,0.328510304,0.422680535,1,0.153248513,0.335717615,x
EGF-containing fibulin-like extracellular matrix protein 1 OS=Homo sapiens GN=EFEMP1 PE=1 SV=2,0.000567734,0.019822028,0.9486197,0.602518914,0.024268126,0.608824883,0.832222966,0.788125306,0.094213989,0.230303107,0.915875753,1,0.077675773,0.27332369,x
Apolipoprotein A-I OS=Bos taurus GN=APOA1 PE=1 SV=3,0.446816508,0.374352513,0.915832609,0.594401624,0.284220119,0.608824883,0.381801422,0.605782698,0.298312245,0.311252134,0.422510135,1,0.52932952,0.529931478,x
Complement C3 OS=Bos taurus GN=C3 PE=1 SV=2,0.267405155,0.280174268,0.34614188,0.428842056,0.402782734,0.61323726,0.340466289,0.590179282,0.60959742,0.406629866,0.884356146,1,0.568381648,0.540716572,x
Bone morphogenetic protein 1 OS=Homo sapiens GN=BMP1 PE=1 SV=2,0.81675263,0.546206748,0.326648119,0.421394244,0.229719857,0.608824883,0.178218277,0.491740905,0.613247782,0.407315765,0.450568224,1,0.821830968,0.648963857,x
Collagen alpha-1(V) chain OS=Homo sapiens GN=COL5A1 PE=1 SV=3,0.396231495,0.346865519,0.186969473,0.360813002,0.407006011,0.61323726,0.135435679,0.457352498,0.612116749,0.407315765,0.903954102,1,0.514987606,0.524074457,x
Nidogen-1 OS=Homo sapiens GN=NID1 PE=1 SV=3,0.012952333,0.059824209,0.919136976,0.594855076,0.009099005,0.472171619,0.474408273,0.643226118,0.087969535,0.230303107,0.586242289,1,0.050335912,0.244659299,x
Serine protease HTRA1 OS=Homo sapiens GN=HTRA1 PE=1 SV=1,0.063079985,0.128839369,0.256595541,0.395493356,0.669674963,0.687223262,0.118845738,0.435178604,0.800079729,0.470331703,0.056230107,1,0.211334262,0.387187813,x
WD repeat-containing protein 1 OS=Homo sapiens GN=WDR1 PE=1 SV=4,0.046101179,0.109150564,0.615258821,0.511431014,0.356101382,0.608824883,0.112812036,0.435178604,0.175666756,0.263218685,0.228649811,1,0.024900617,0.197044681,x
"Procollagen-lysine,2-oxoglutarate 5-dioxygenase 1 OS=Homo sapiens GN=PLOD1 PE=1 SV=2",0.022575622,0.074704059,0.690774355,0.533938732,0.786568252,0.722170269,0.008530667,0.156143339,0.760150732,0.458539246,0.222309049,1,0.014860606,0.167464433,x
Fibrillin-2 OS=Homo sapiens GN=FBN2 PE=1 SV=3,0.58497537,0.45086389,0.306735241,0.408578546,0.500447471,0.636245034,0.142162223,0.459841111,0.092699236,0.230303107,0.366529788,1,0.055155139,0.2528983,x
Alpha-actinin-1 OS=Homo sapiens GN=ACTN1 PE=1 SV=2,0.049422053,0.111666919,0.529109311,0.484711794,0.548281407,0.640674953,0.224734976,0.520333851,0.98168821,0.522655949,0.344264761,1,0.363738552,0.452141063,x
Prolow-density lipoprotein receptor-related protein 1 OS=Homo sapiens GN=LRP1 PE=1 SV=2,0.94285058,0.590314663,0.153872066,0.34682986,0.337584617,0.608824883,0.263553347,0.549269492,0.905073651,0.502413198,0.882141609,1,0.848830247,0.654267079,x
Plasminogen OS=Bos taurus GN=PLG PE=1 SV=2,0.555676197,0.434074331,0.258674956,0.39610522,0.607169366,0.661730439,0.483413503,0.646553306,0.840839179,0.483034487,0.780407963,1,0.774622655,0.62894896,x
Transketolase OS=Homo sapiens GN=TKT PE=1 SV=3,0.098309234,0.165783312,0.075219143,0.290252089,0.468310513,0.628886362,0.620285903,0.709785275,0.88753925,0.497124436,0.215621491,1,0.379745785,0.453064641,x
Heat shock 70 kDa protein 4 OS=Homo sapiens GN=HSPA4 PE=1 SV=4,0.011620998,0.057737443,0.021353963,0.225953871,0.874696003,0.751682931,0.095682881,0.419780335,0.379013803,0.334330084,0.83922321,1,0.371057613,0.452141063,x
Heterogeneous nuclear ribonucleoproteins A2/B1 OS=Bos taurus GN=HNRNPA2B1 PE=2 SV=1,0.55286432,0.43260917,0.395493796,0.442381387,0.342966842,0.608824883,0.837577086,0.788246115,0.099289544,0.230303107,0.370136945,1,0.231941095,0.402269682,x
Alpha-1-antiproteinase OS=Bos taurus GN=SERPINA1 PE=1 SV=1,0.865528035,0.566465544,0.550010292,0.490964006,0.334665797,0.608824883,0.78405071,0.773039413,0.443624687,0.355572168,0.774814674,1,0.386351498,0.455337215,x
PDZ and LIM domain protein 5 OS=Homo sapiens GN=PDLIM5 PE=1 SV=5,0.005667767,0.049882675,0.453423825,0.464643774,0.275984858,0.608824883,0.79499438,0.77603028,0.68843887,0.431758443,0.482396511,1,0.250234764,0.412328188,x
Elongation factor 1-alpha 1 OS=Bos taurus GN=EEF1A1 PE=1 SV=1,0.134844275,0.1956231,0.0809538,0.290252089,0.882504389,0.751682931,0.203677357,0.517578144,0.26098937,0.296290088,0.443474154,1,0.494111796,0.514476552,x
Procollagen C-endopeptidase enhancer 1 OS=Homo sapiens GN=PCOLCE PE=1 SV=2,0.006184531,0.05148857,0.350058079,0.429371006,0.715534648,0.699179767,0.281113843,0.555770321,0.648339319,0.419562732,0.595183109,1,0.450413867,0.487679375,x
Annexin A2 OS=Homo sapiens GN=ANXA2 PE=1 SV=2,0.000750739,0.019822028,0.042547951,0.246646372,0.954662756,0.77052245,0.420510876,0.625545796,0.071261487,0.219530624,0.287269899,1,0.463091217,0.495417523,x
Serpin H1 OS=Homo sapiens GN=SERPINH1 PE=1 SV=2,0.178408749,0.22585013,0.116923874,0.323161126,0.682437038,0.69004782,0.087841621,0.408170214,0.062510115,0.213736408,0.993654784,1,0.042430363,0.230857499,x
Inter-alpha-trypsin inhibitor heavy chain H4 OS=Bos taurus GN=ITIH4 PE=1 SV=1,0.222099459,0.2538163,0.678618507,0.530030815,0.812261031,0.731856698,0.915300862,0.812418291,0.653595924,0.420681412,0.638318447,1,0.850120822,0.654787697,x
Thrombospondin-1 OS=Homo sapiens GN=THBS1 PE=1 SV=2,0.049187062,0.111666919,0.409122469,0.448008421,0.041035937,0.608824883,0.341913048,0.590179282,0.035270254,0.200708451,0.92837377,1,0.020994214,0.183175631,x
Decorin OS=Homo sapiens GN=DCN PE=1 SV=1,0.011120985,0.056599666,0.185540195,0.360269559,0.692324599,0.692250112,0.026959296,0.254093355,0.097836584,0.230303107,0.036460663,1,0.017531784,0.170077318,x
Phosphoglycerate kinase 1 OS=Homo sapiens GN=PGK1 PE=1 SV=3,0.165516655,0.216959983,0.830812782,0.573194237,0.251769216,0.608824883,0.440526157,0.629374296,0.242072975,0.287751805,0.256062378,1,0.069666735,0.270006358,x
SPARC OS=Homo sapiens GN=SPARC PE=1 SV=1,0.520066315,0.415819453,0.006125068,0.160228477,0.137967396,0.608824883,0.023751536,0.241573043,0.696517669,0.433779137,0.347550763,1,0.872136281,0.662137741,x
Biglycan OS=Homo sapiens GN=BGN PE=1 SV=2,0.00655258,0.052122584,0.641911844,0.52193337,0.010141453,0.483194598,0.351405971,0.594581193,0.014436581,0.159618426,0.622803909,1,0.019320196,0.174049235,x
Glia-derived nexin OS=Homo sapiens GN=SERPINE2 PE=1 SV=1,0.025489197,0.08039251,0.059894595,0.276495945,0.027711007,0.608824883,0.040954836,0.300722772,0.223136262,0.282730229,0.24714308,1,0.792810779,0.635423951,x
Ubiquitin-like modifier-activating enzyme 1 OS=Homo sapiens GN=UBA1 PE=1 SV=3,0.185574051,0.231121527,0.172639433,0.355427844,0.124082763,0.608824883,0.116602981,0.435178604,0.049883762,0.20542091,0.903267806,1,0.036777668,0.228936997,x
Lysyl oxidase homolog 2 OS=Homo sapiens GN=LOXL2 PE=1 SV=1,0.062597649,0.128839369,0.718166419,0.542798138,0.03674954,0.608824883,0.375979388,0.605672062,0.32250217,0.319502222,0.466202885,1,0.669505429,0.581589796,x
Hexokinase-1 OS=Homo sapiens GN=HK1 PE=1 SV=3,0.072665955,0.139608231,0.66785757,0.530030815,0.185414003,0.608824883,0.4588946,0.63802044,0.061884684,0.213736408,0.663196551,1,0.069035479,0.269796125,x
Metalloproteinase inhibitor 2 OS=Homo sapiens GN=TIMP2 PE=1 SV=2,0.079598515,0.146239279,0.976731102,0.60996508,0.911949759,0.760902663,0.716553356,0.756314933,0.899466321,0.500770272,0.623869201,1,0.740389872,0.614738733,x
Target of Nesh-SH3 OS=Homo sapiens GN=ABI3BP PE=1 SV=1,0.01426179,0.061586757,0.048299651,0.246646372,0.030089589,0.608824883,0.130191536,0.450484086,0.321660835,0.319502222,0.724054095,1,0.694493091,0.593304699,x
T-complex protein 1 subunit theta OS=Homo sapiens GN=CCT8 PE=1 SV=4,0.200617282,0.239551386,0.103498554,0.316457113,0.476975731,0.634797396,0.014828351,0.201372181,0.119182833,0.232556846,0.555074032,1,0.054767454,0.2528983,x
Nidogen-2 OS=Homo sapiens GN=NID2 PE=1 SV=3,0.434605958,0.366782505,0.865440282,0.580498758,0.851963884,0.748382088,0.187106122,0.500640747,0.991193686,0.524258544,0.411124394,1,0.350836304,0.452141063,x
Heat shock 70 kDa protein 1A OS=Homo sapiens GN=HSPA1A PE=1 SV=1,0.006367282,0.052122584,0.298242521,0.405616752,0.870606924,0.750376324,0.381003704,0.605782698,0.624450655,0.410098109,0.983677684,1,0.641904351,0.570949923,x
A-kinase anchor protein 12 OS=Homo sapiens GN=AKAP12 PE=1 SV=4,0.004361433,0.042933682,0.019371008,0.214767808,0.437742133,0.619209355,0.023909413,0.241573043,0.027603459,0.194212744,0.663107259,1,0.027638734,0.205034994,x
Insulin-like growth factor-binding protein 7 OS=Homo sapiens GN=IGFBP7 PE=1 SV=1,0.985844934,0.602537211,0.935744003,0.599067387,0.377285783,0.608824883,0.593757651,0.700362673,0.15727278,0.24987993,0.46940083,1,0.839798191,0.652489551,x
Phosphoserine aminotransferase OS=Homo sapiens GN=PSAT1 PE=1 SV=2,0.027438716,0.083136358,0.34526824,0.428842056,0.817165,0.734836835,0.043581363,0.310345023,0.148003532,0.247141545,0.117700674,1,0.006993399,0.122035544,x
Dihydropyrimidinase-related protein 2 OS=Homo sapiens GN=DPYSL2 PE=1 SV=1,0.053937708,0.117186397,0.694891509,0.53466438,0.67905725,0.689557153,0.371579326,0.605416816,0.793412789,0.468117226,0.288688779,1,0.973828365,0.693440771,x
Rab GDP dissociation inhibitor beta OS=Homo sapiens GN=GDI2 PE=1 SV=2,0.007329423,0.053488684,0.254482186,0.393295932,0.557567576,0.643476594,0.158052412,0.479223471,0.222296276,0.282553041,0.630177804,1,0.1576154,0.336055727,x
